GT_Min,GT_Max,Tankers,Container,RoRo,Bulk,Other,Category
0,10000,0.6306,0.438,0.5203,0.4819,0.5781,Foreign
10001,15000,0.7229,0.5021,0.5966,0.5524,0.6629,Foreign
15001,30000,0.8325,0.5781,0.6869,0.6359,0.7632,Foreign
30001,60000,1.183,0.8215,0.976,0.9036,1.0844,Foreign
60001,999999,1.3693,0.9509,1.1296,1.046,1.2551,Foreign
0,10000,16.6646,11.5726,13.7483,12.7299,15.2758,Coastal
10001,15000,19.1213,13.2786,15.775,14.6066,17.5278,Coastal
15001,30000,20.1612,15.2889,18.1632,16.8178,20.1813,Coastal
30001,60000,31.2479,21.7,25.7795,23.87,28.6439,Coastal
60001,999999,36.177,25.1229,29.846,27.6352,33.1622,Coastal
