Date,ExchangeRate
08-08-2025,87.46
09-08-2025,87.65
10-08-2025,87.59
11-08-2025,87.43
12-08-2025,87.67
13-08-2025,87.51
14-08-2025,87.29
15-08-2025,87.04
16-08-2025,87.00
17-08-2025,87.27
18-08-2025,87.33
19-08-2025,87.59
20-08-2025,87.61
21-08-2025,87.64
22-08-2025,87.56
23-08-2025,88.14
24-08-2025,87.98
25-08-2025,87.98
26-08-2025,88.04
27-08-2025,88.17
28-08-2025,88.16
29-08-2025,87.95
30-08-2025,88.22
31-08-2025,88.03
01-09-2025,88.24
02-09-2025,88.27
03-09-2025,88.10
04-09-2025,87.86
05-09-2025,87.73
06-09-2025,88.19
07-09-2025,88.10
08-09-2025,88.28
09-09-2025,88.79
10-09-2025,88.76
11-09-2025,88.74
12-09-2025,88.66
13-09-2025,88.67
14-09-2025,88.81
15-09-2025,88.65
16-09-2025,88.69
17-09-2025,88.73
18-09-2025,88.70
19-09-2025,88.71
20-09-2025,88.74
21-09-2025,88.84
22-09-2025,88.75
23-09-2025,88.64
24-09-2025,88.76
25-09-2025,87.79
26-09-2025,87.96
27-09-2025,87.97
28-09-2025,87.86
29-09-2025,88.00
30-09-2025,87.72
01-10-2025,87.76
02-10-2025,87.82
03-10-2025,88.20
04-10-2025,88.21
05-10-2025,88.38
06-10-2025,88.61
07-10-2025,88.74
08-10-2025,88.70
09-10-2025,88.73
10-10-2025,88.54
11-10-2025,88.67
12-10-2025,88.64
13-10-2025,88.68
14-10-2025,88.44
15-10-2025,88.57
16-10-2025,88.79
17-10-2025,88.66
18-10-2025,88.63
19-10-2025,88.52
20-10-2025,88.46
21-10-2025,88.46
22-10-2025,88.46
23-10-2025,88.46
24-10-2025,88.46
25-10-2025,88.46
26-10-2025,88.46
27-10-2025,88.46
28-10-2025,88.46
29-10-2025,88.46
30-10-2025,88.46
31-10-2025,88.46
01-11-2025,88.46
02-11-2025,88.46
03-11-2025,88.46
04-11-2025,88.46
05-11-2025,88.46
06-11-2025,88.46
07-11-2025,88.46
08-11-2025,88.46
09-11-2025,88.46
10-11-2025,88.46
11-11-2025,88.46
12-11-2025,88.46
13-11-2025,88.46
14-11-2025,88.46
15-11-2025,88.46
16-11-2025,88.46
17-11-2025,88.46
18-11-2025,88.46
19-11-2025,88.46
20-11-2025,88.46
21-11-2025,88.46
22-11-2025,88.46
23-11-2025,88.46
24-11-2025,88.46
25-11-2025,88.46
26-11-2025,88.46
27-11-2025,88.46
28-11-2025,88.46
29-11-2025,88.46
30-11-2025,88.46
01-12-2025,88.46
02-12-2025,88.46
03-12-2025,88.46
04-12-2025,88.46
05-12-2025,88.46
06-12-2025,88.46
07-12-2025,88.46
08-12-2025,88.46
09-12-2025,88.46
10-12-2025,88.46
11-12-2025,88.46
12-12-2025,88.46
13-12-2025,88.46
14-12-2025,88.46
15-12-2025,88.46
16-12-2025,88.46
17-12-2025,88.46
18-12-2025,88.46
19-12-2025,88.46
20-12-2025,88.46
21-12-2025,88.46
22-12-2025,88.46
23-12-2025,88.46
24-12-2025,88.46
25-12-2025,88.46
26-12-2025,88.46
27-12-2025,88.46
28-12-2025,88.46
