Sl.No,Description,Location,Rate_per_month,Area,S_UoM
1,Open Space - Unpaved,Inside Port,8081,100,square meter
2,Open space - Paved,Inside Port,15353,100,square meter
3,Covered Space - Cargo Storage,Inside Port,2426,10,square meter
4,Building with RCC Roof and terrace within the Port for other than cargo storage,Inside Port,647,1,square meter
5,"Building with ACC sheet and any other similar roofing like GI sheet within the Port, for other than cargo storage",Inside Port,483,1,square meter
6,Track length at any of the Chennai Port Railway Sidings -- per running meter,Inside Port,2426,1,meter
7,Building with RCC roof and terrace at Rajaji Salai,Outside Port,809,1,square meter
8,Open Space -Unpaved - Oblique of Royapuram Bridge at Rajaji Salai,Outside Port,322,1,square meter
9,Open Space - Paved - at Rajaji Salai,Outside Port,468,1,square meter
10,Open Space - Unpaved at Ibrahim Salai,Outside Port,235,1,square meter
11,Open Space - Unpaved at GM Pettai Road,Outside Port,108,1,square meter
12,Land for commercial use at THC,Tondiarpet Housing,83,1,square meter
13,Buildings/shops with RCC roof at THC,Tondiarpet Housing,809,1,square meter
