LINE_NO,100_tons_Mobile_Crane,Cargo_Type_Description,Datum_per_Crane,101to150,151to200,Above200
1A,N,"All General Cargo -  Non-unitised & non-palletised, LPG cylinder and others",114,8.04,8.09,8.14
1B,N,All General Cargo - Unitised & palletised cargo,480,8.25,8.35,8.5
2A1,N,Bagged Cargo - Jumbo Bags - Stacking,504,3.94,4.04,4.14
2A2,N,Bagged Cargo - Jumbo Bags - Direct ,504,3.94,4.04,4.14
2B1,N,Bagged Cargo - 50 kg bags -Stacking,128,1.75,2,2.25
2B2,N,Bagged Cargo - 50 kg bags -Direct,128,1.75,2,2.25
2C1,N,"Bagged Cargo - Rice, Sugar and Wheat  bags - Stacking          ",201,4.6,4.7,4.8
2C2,N,"Bagged Cargo - Rice, Sugar and Wheat  bags - Direct",201,4.6,4.7,4.8
4,N,Granite Blocks,221,6.7,6.8,6.9
5A1,N,"Iron & Steel - Finished Products: Coils, Slabs, Billets & Ingots - Direct",394,3.55,3.65,3.75
5A2,N,"Iron & Steel - Finished Products: Coils, Slabs, Billets & Ingots - Stacking",394,3.55,3.65,3.75
5B1,N,Iron & Steel - Finished Products: Other than mentioned at 5A -Direct,205,2.5,2.6,2.7
5B2,N,Iron & Steel - Finished Products: Other than mentioned at 5A-Stacking,205,2.5,2.6,2.7
6(1),N,Logs / Timber - Direct,302,14.6,14.7,14.8
6(2),N,Logs / Timber - Stacking,302,14.6,14.7,14.8
7A,N,"Fert, Chem&foodgrains - mechanical using shore crane",361,1.65,1.75,1.9
7B,N,"Fert, Chem&foodgrains - mechanical using ship crane",537,2.45,2.55,2.65
7C ,N,Iron Scrap in bulk (Mech) - Shredded scrap,426,6,6.1,6.2
7D,N,"All types of minerals & ores, mill scale cut & cobble stones, bentonite and other bulk (Mechanical) - Using Ship Crane",933,2.2,2.3,2.4
7E,N,"All types of minerals & ores, mill scale cut & cobble stones, bentonite and other bulk (Mechanical) - Using Shore Crane when slinging not required",642,1.2,1.3,1.4
7F,N,All types of Coal  in bulk (mechanical),845,1.95,2.05,2.15
7G,N,All types of coke  in bulk (mechanical),630,2.45,2.55,2.65
8(1),N,Container Vessels at InnerHarbour:  Manual / Mechanical Automatic Spreader,138,7.7,7.8,7.9
8(2),N,Container Vessels at InnerHarbour:  Manual / Mechanical Automatic Spreader - computerized,138,7.7,7.8,7.9
9,N,Pure car carrier RORO vessel,1200,2,2,2
1A,Y,"All General Cargo -  Non-unitised & non-palletised, LPG cylinder and others",1250,0.88,0.92,0.94
1B,Y,All General Cargo - Unitised & palletised cargo,1250,0.88,0.92,0.94
2A1,Y,Bagged Cargo - Jumbo Bags - Stacking,2000,0.61,0.63,0.65
2A2,Y,Bagged Cargo - Jumbo Bags - Direct ,2000,0.61,0.63,0.65
2B1,Y,Bagged Cargo - 50 kg bags -Stacking,2000,0.61,0.63,0.65
2B2,Y,Bagged Cargo - 50 kg bags -Direct,2000,0.61,0.63,0.65
2C1,Y,"Bagged Cargo - Rice, Sugar and Wheat  bags - Stacking          ",2000,0.61,0.63,0.65
2C2,Y,"Bagged Cargo - Rice, Sugar and Wheat  bags - Direct",2000,0.61,0.63,0.65
4,Y,Granite Blocks,1250,0.88,0.92,0.94
5A1,Y,"Iron & Steel - Finished Products: Coils, Slabs, Billets & Ingots - Direct",2000,0.61,0.63,0.65
5A2,Y,"Iron & Steel - Finished Products: Coils, Slabs, Billets & Ingots - Stacking",2000,0.61,0.63,0.65
5B1,Y,Iron & Steel - Finished Products: Other than mentioned at 5A -Direct,2000,0.61,0.63,0.65
5B2,Y,Iron & Steel - Finished Products: Other than mentioned at 5A-Stacking,2000,0.61,0.63,0.65
6(1),Y,Logs / Timber - Direct,1250,0.88,0.92,0.94
6(2),Y,Logs / Timber - Stacking,1250,0.88,0.92,0.94
7A,Y,"Fert, Chem&foodgrains - mechanical using shore crane",4167,0.09,0.1,0.11
7B,Y,"Fert, Chem&foodgrains - mechanical using ship crane",4167,0.09,0.1,0.11
7C ,Y,Iron Scrap in bulk (Mech) - Shredded scrap,4167,0.09,0.1,0.11
7D,Y,"All types of minerals & ores, mill scale cut & cobble stones, bentonite and other bulk (Mechanical) - Using Ship Crane",4167,0.09,0.1,0.11
7E,Y,"All types of minerals & ores, mill scale cut & cobble stones, bentonite and other bulk (Mechanical) - Using Shore Crane when slinging not required",4167,0.09,0.1,0.11
7F,Y,All types of Coal  in bulk (mechanical),845,1.95,2.05,2.15
7G,Y,All types of coke  in bulk (mechanical),630,2.45,2.55,2.65
8(1),Y,Container Vessels at InnerHarbour:  Manual / Mechanical Automatic Spreader,138,7.7,7.8,7.9
8(2),Y,Container Vessels at InnerHarbour:  Manual / Mechanical Automatic Spreader - computerized,138,7.7,7.8,7.9
9,Y,Pure car carrier RORO vessel,1200,2,2,2
